Method: default, Chunksize: 6, Threshold: 0.9, Size: 5.33938
Method: default, Chunksize: 6, Threshold: 0.95, Size: 5.33938
Method: default, Chunksize: 6, Threshold: 1, Size: 5.33938
Method: default, Chunksize: 7, Threshold: 0.05, Size: 3.53541
Method: default, Chunksize: 7, Threshold: 0.1, Size: 3.54974
Method: default, Chunksize: 7, Threshold: 0.15, Size: 3.6004
Method: default, Chunksize: 7, Threshold: 0.2, Size: 3.6735
Method: default, Chunksize: 7, Threshold: 0.25, Size: 3.82935
Method: default, Chunksize: 7, Threshold: 0.3, Size: 3.99965
Method: default, Chunksize: 7, Threshold: 0.35, Size: 4.27229
Method: default, Chunksize: 7, Threshold: 0.4, Size: 4.49652
Method: default, Chunksize: 7, Threshold: 0.45, Size: 4.75948
Method: default, Chunksize: 7, Threshold: 0.5, Size: 4.94433
Method: default, Chunksize: 7, Threshold: 0.55, Size: 5.15255
Method: default, Chunksize: 7, Threshold: 0.6, Size: 5.28058
Method: default, Chunksize: 7, Threshold: 0.65, Size: 5.35587
Method: default, Chunksize: 7, Threshold: 0.7, Size: 5.36027
Method: default, Chunksize: 7, Threshold: 0.75, Size: 5.33969
Method: default, Chunksize: 7, Threshold: 0.8, Size: 5.34069
Method: default, Chunksize: 7, Threshold: 0.85, Size: 5.34069
Method: default, Chunksize: 7, Threshold: 0.9, Size: 5.34069
Method: default, Chunksize: 7, Threshold: 0.95, Size: 5.34069
Method: default, Chunksize: 7, Threshold: 1, Size: 5.34069
Method: default, Chunksize: 8, Threshold: 0.05, Size: 2.95587
Method: default, Chunksize: 8, Threshold: 0.1, Size: 3.01317
Method: default, Chunksize: 8, Threshold: 0.15, Size: 3.15588
Method: default, Chunksize: 8, Threshold: 0.2, Size: 3.31202
Method: default, Chunksize: 8, Threshold: 0.25, Size: 3.59851
Method: default, Chunksize: 8, Threshold: 0.3, Size: 3.88412
Method: default, Chunksize: 8, Threshold: 0.35, Size: 4.21834
Method: default, Chunksize: 8, Threshold: 0.4, Size: 4.49214
Method: default, Chunksize: 8, Threshold: 0.45, Size: 4.7498
Method: default, Chunksize: 8, Threshold: 0.5, Size: 4.93077
Method: default, Chunksize: 8, Threshold: 0.55, Size: 5.13386
Method: default, Chunksize: 8, Threshold: 0.6, Size: 5.26135
Method: default, Chunksize: 8, Threshold: 0.65, Size: 5.34543
Method: default, Chunksize: 8, Threshold: 0.7, Size: 5.35757
Method: default, Chunksize: 8, Threshold: 0.75, Size: 5.33975
Method: default, Chunksize: 8, Threshold: 0.8, Size: 5.34163
Method: default, Chunksize: 8, Threshold: 0.85, Size: 5.34163
Method: default, Chunksize: 8, Threshold: 0.9, Size: 5.34163
Method: default, Chunksize: 8, Threshold: 0.95, Size: 5.34
Method: default, Chunksize: 8, Threshold: 1, Size: 5.34
Method: default, Chunksize: 9, Threshold: 0.05, Size: 2.41235
Method: default, Chunksize: 9, Threshold: 0.1, Size: 2.53397
Method: default, Chunksize: 9, Threshold: 0.15, Size: 2.84462
Method: default, Chunksize: 9, Threshold: 0.2, Size: 3.13393
Method: default, Chunksize: 9, Threshold: 0.25, Size: 3.51682
Method: default, Chunksize: 9, Threshold: 0.3, Size: 3.90116
Method: default, Chunksize: 9, Threshold: 0.35, Size: 4.20359
Method: default, Chunksize: 9, Threshold: 0.4, Size: 4.47386
Method: default, Chunksize: 9, Threshold: 0.45, Size: 4.73668
Method: default, Chunksize: 9, Threshold: 0.5, Size: 4.91952
Method: default, Chunksize: 9, Threshold: 0.55, Size: 5.11667
Method: default, Chunksize: 9, Threshold: 0.6, Size: 5.24472
Method: default, Chunksize: 9, Threshold: 0.65, Size: 5.33154
Method: default, Chunksize: 9, Threshold: 0.7, Size: 5.35511
Method: default, Chunksize: 9, Threshold: 0.75, Size: 5.34135
Method: default, Chunksize: 9, Threshold: 0.8, Size: 5.34065
Method: default, Chunksize: 9, Threshold: 0.85, Size: 5.34065
Method: default, Chunksize: 9, Threshold: 0.9, Size: 5.34065
Method: default, Chunksize: 9, Threshold: 0.95, Size: 5.34065
Method: default, Chunksize: 9, Threshold: 1, Size: 5.34065
Method: default, Chunksize: 10, Threshold: 0.05, Size: 2.02937
Method: default, Chunksize: 10, Threshold: 0.1, Size: 2.28192
Method: default, Chunksize: 10, Threshold: 0.15, Size: 2.77598
Method: default, Chunksize: 10, Threshold: 0.2, Size: 3.21537
Method: default, Chunksize: 10, Threshold: 0.25, Size: 3.5055
Method: default, Chunksize: 10, Threshold: 0.3, Size: 3.87996
Method: default, Chunksize: 10, Threshold: 0.35, Size: 4.17805
Method: default, Chunksize: 10, Threshold: 0.4, Size: 4.45294
Method: default, Chunksize: 10, Threshold: 0.45, Size: 4.71214
Method: default, Chunksize: 10, Threshold: 0.5, Size: 4.90652
Method: default, Chunksize: 10, Threshold: 0.55, Size: 5.09654
Method: default, Chunksize: 10, Threshold: 0.6, Size: 5.22632
Method: default, Chunksize: 10, Threshold: 0.65, Size: 5.3137
Method: default, Chunksize: 10, Threshold: 0.7, Size: 5.33902
Method: default, Chunksize: 10, Threshold: 0.75, Size: 5.34052
Method: default, Chunksize: 10, Threshold: 0.8, Size: 5.34052
Method: default, Chunksize: 10, Threshold: 0.85, Size: 5.34052
Method: default, Chunksize: 10, Threshold: 0.9, Size: 5.34052
Method: default, Chunksize: 10, Threshold: 0.95, Size: 5.34052
Method: default, Chunksize: 10, Threshold: 1, Size: 5.34052
Method: default, Chunksize: 11, Threshold: 0.05, Size: 2.14474
Method: default, Chunksize: 11, Threshold: 0.1, Size: 2.58715
Method: default, Chunksize: 11, Threshold: 0.15, Size: 2.82264
Method: default, Chunksize: 11, Threshold: 0.2, Size: 3.19937
Method: default, Chunksize: 11, Threshold: 0.25, Size: 3.56085
Method: default, Chunksize: 11, Threshold: 0.3, Size: 3.89332
Method: default, Chunksize: 11, Threshold: 0.35, Size: 4.17534
Method: default, Chunksize: 11, Threshold: 0.4, Size: 4.44014
Method: default, Chunksize: 11, Threshold: 0.45, Size: 4.68513
Method: default, Chunksize: 11, Threshold: 0.5, Size: 4.8782
Method: default, Chunksize: 11, Threshold: 0.55, Size: 5.06435
Method: default, Chunksize: 11, Threshold: 0.6, Size: 5.1934
Method: default, Chunksize: 11, Threshold: 0.65, Size: 5.28079
Method: default, Chunksize: 11, Threshold: 0.7, Size: 5.31959
Method: default, Chunksize: 11, Threshold: 0.75, Size: 5.34052
Method: default, Chunksize: 11, Threshold: 0.8, Size: 5.34052
Method: default, Chunksize: 11, Threshold: 0.85, Size: 5.34052
Method: default, Chunksize: 11, Threshold: 0.9, Size: 5.34052
Method: default, Chunksize: 11, Threshold: 0.95, Size: 5.34052
Method: default, Chunksize: 11, Threshold: 1, Size: 5.34052
Method: default, Chunksize: 12, Threshold: 0.05, Size: 2.41993
Method: default, Chunksize: 12, Threshold: 0.1, Size: 2.7402
Method: default, Chunksize: 12, Threshold: 0.15, Size: 2.99397
Method: default, Chunksize: 12, Threshold: 0.2, Size: 3.27987
